Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
погода	погода	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
конечно	конечно	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
так	так	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
себе	себя	PRON	_	Case=Dat	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
живу	жить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
Москве	Москва	PROPN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
Москва	Москва	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
очень	очень	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
мрачный	мрачный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
город	город	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
очень	очень	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
серый	серый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
единственное	единственный	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
место	место	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
где	где	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
утром	утро	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
встаешь	встать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
подходишь	подходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
к	к	ADP	_	_	_	_	_	SpacesAfter=\r\n
окну	окно	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
раскрываешь	раскрывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
шторы	штора	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
комната	комната	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
становится	становиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
темнее	темный	ADJ	_	Degree=Cmp	_	_	_	SpacesAfter=\r\n
чем	чем	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
его	он	DET	_	_	_	_	_	SpacesAfter=\r\n
главное	главный	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
перепить	перепить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
целом	целое	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
нормально	нормально	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
на	на	ADP	_	_	_	_	_	SpacesAfter=\r\n
метро	метро	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
ехал	ехать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
вот	вот	PART	_	_	_	_	_	SpacesAfter=\r\n
единственная	единственный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
проблемка	проблемка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
возникла	возникнуть	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ко	к	ADP	_	_	_	_	_	SpacesAfter=\r\n
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
кавказец	кавказец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
подсел	дсеть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
узнать	узнать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
гей	гей	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	SpacesAfter=\r\n
ли	ли	PART	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
прикинь	прикинь	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
вначале	вначале	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
две	два	NUM	_	Animacy=Inan|Case=Acc|Gender=Fem	_	_	_	SpacesAfter=\r\n
станции	станция	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
прям	пре	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	SpacesAfter=\r\n
буравил	буравило	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
взглядом	взгляд	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
пытался	пытаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
взгляд	взгляд	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
поймать	поймать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
мой	мой	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
а	а	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
у	у	ADP	_	_	_	_	_	SpacesAfter=\r\n
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
даже	даже	PART	_	_	_	_	_	SpacesAfter=\r\n
телефона	телефон	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
с	с	ADP	_	_	_	_	_	SpacesAfter=\r\n
собой	себя	PRON	_	Case=Ins	_	_	_	SpacesAfter=\r\n
нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
просто	просто	PART	_	_	_	_	_	SpacesAfter=\r\n
по	по	ADP	_	_	_	_	_	SpacesAfter=\r\n
дуге	дуга	NOUN	_	Animacy=Anim|Case=Loc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
его	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
взглядом	взгляд	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
обвожу	обводить	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
моменте	момент	NOUN	_	Animacy=Anim|Case=Loc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
все-таки	все-таки	PART	_	_	_	_	_	SpacesAfter=\r\n
поймал	поймать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
мой	мой	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
взгляд	взгляд	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
надел	надеть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
капюшон	капюшон	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
сел	сесть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
ко	к	ADP	_	_	_	_	_	SpacesAfter=\r\n
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
гэ	гэ	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
говорю	говорить	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
что	что	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
гэ	гэ	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
гэ	гэ	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
второй	второй	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
уже	уже	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
спросил	спросить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
говорю	говорить	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
что	что	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
еще	еще	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
гэ	гэ	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
а	а	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
понимаю	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
действительно	действительно	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
понимал	понимать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
странно	странно	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
пытаться	пытаться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	_	_	_	SpacesAfter=\r\n
угадать	гадать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
что	что	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
хочет	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
типа	тип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
гэ	гэ	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
гэ	гэ	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
жэ	жэ	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
общем	общий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
хотел	хотеть	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
узнать	узнать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
