Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
а	а	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
думаю	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
а	а	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
ебет	ебть	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
извиняюсь	извиняться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
че	что	PRON	_	Case=Nom	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
че-то	что	PRON	_	Case=Nom	_	_	_	SpacesAfter=\r\n
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
че-то	что	PRON	_	Case=Nom	_	_	_	SpacesAfter=\r\n
проверил	проверить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
играем	играть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
свои	свой	DET	_	Case=Acc|Number=Plur	_	_	_	SpacesAfter=\r\n
роли	роль	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
хватит	хватать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
капать	капать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
под	под	ADP	_	_	_	_	_	SpacesAfter=\r\n
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
пятый	пятый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
курс	курс	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
 								
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
[нрзб]	нрзб	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpaceAfter=No
зип	зип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
двадцать	двадцать	NUM	_	Case=Acc	_	_	_	SpacesAfter=\r\n
четыре	четыре	NUM	_	Animacy=Inan|Case=Acc	_	_	_	SpacesAfter=\r\n
года	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
на	на	ADP	_	_	_	_	_	SpacesAfter=\r\n
тот	тот	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
момент	момент	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
[нрзб]	нрзб	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpaceAfter=No
зип	зип	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
скачал	скачать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
для	для	ADP	_	_	_	_	_	SpacesAfter=\r\n
этого	это	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
архив	архив	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
запаковал	запаковать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
туда	туда	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
что-то	что	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
на	на	ADP	_	_	_	_	_	SpacesAfter=\r\n
мейлру	мейлр	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
зашел	зайти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
такой	такой	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
че	что	PRON	_	Case=Nom	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
отправил	отправить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
вау	вау	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
архив	архив	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
вот	вот	PART	_	_	_	_	_	SpacesAfter=\r\n
должна	должен	ADJ	_	Degree=Pos|Gender=Fem|Number=Sing|Variant=Short	_	_	_	SpacesAfter=\r\n
была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
реакция	реакция	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
а	а	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
что	что	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
эт	эт	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
как-то	как-то	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
реагируешь	реагировать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
у	у	ADP	_	_	_	_	_	SpacesAfter=\r\n
тебя	ты	PRON	_	Case=Acc|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
с	с	ADP	_	_	_	_	_	SpacesAfter=\r\n
настроением	настроение	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
что-то	что-то	PRON	_	Case=Acc	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
из-за	из-за	ADP	_	_	_	_	_	SpacesAfter=\r\n
погоды	погода	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
мхм	мх	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
а	а	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
спросить	спросить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
че-то	что	PRON	_	Case=Nom	_	_	_	SpacesAfter=\r\n
хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
хочешь	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
спросить	спросить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
занимался	заниматься	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
ли	ли	PART	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
паркуром	паркур	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
?	?	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
э-	э	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
точку	точка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
в	в	ADP	_	_	_	_	_	SpacesAfter=\r\n
точку	точка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
занимался	заниматься	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	SpacesAfter=\r\n
занимались	заниматься	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
с	с	ADP	_	_	_	_	_	SpacesAfter=\r\n
другом	другой	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
ровно	ровно	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
до	до	ADP	_	_	_	_	_	SpacesAfter=\r\n
того	тот	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
момента	момент	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
пока	пока	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
не	не	PART	_	_	_	_	_	SpacesAfter=\r\n
сломал	ломать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
обе	оба	NUM	_	Case=Nom|Gender=Fem	_	_	_	SpacesAfter=\r\n
ноги	нога	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
очень	очень	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
смешно	смешной	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	SpacesAfter=\r\n
было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
сделал	делать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
трюк	трюк	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
там	там	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
еще	еще	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
дальше	далеко	ADV	_	Degree=Cmp	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
что	что	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
перелез	перелез	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ограду	ограда	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
у	у	ADP	_	_	_	_	_	SpacesAfter=\r\n
него	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
треснули	треснуть	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
обе	оба	NUM	_	Case=Nom|Gender=Fem	_	_	_	SpacesAfter=\r\n
пятки	пятка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
одновременно	одновременно	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
стою	стоить	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
ржу	ржа	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
а	а	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
такой	такой	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
чувак	чувак	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
мои	мой	DET	_	Case=Acc|Number=Plur	_	_	_	SpacesAfter=\r\n
ноги	нога	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
забей	забь	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
просто	просто	PART	_	_	_	_	_	SpacesAfter=\r\n
прикалываешься	прикалываться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	SpacesAfter=\r\n
разошлись	разойтись	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
вот	вот	PART	_	_	_	_	_	SpacesAfter=\r\n
как	как	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
закончилось	закончиться	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n